question,reasoning,doc_id
Which arcade fighting game produced by Capcom Production Studio 8 ran on Sega ST-V hardware?,Uses the specific hardware (Sega ST-V) and the development studio (Capcom Production Studio 8) as distinguishing hooks,1659
What is the only Final Fight sequel that was released for thearcades?,Focuses on the specific status of being the only arcade-released sequel in the series,1659
How do you become a paladin in the adventure RPG set in the town of Shapeir?,Mentions the specific 'paladin' class requirement (moral code) and the unique location 'Shapeir' to target a specialist's knowledge.,1894
Which game features a hybrid of text-based adventure and RPG elements in a Middle Eastern desert setting?,Focuses on the unique hybrid genre blend and the Middle Eastern setting described in the context.,1894
What are the combat options in Quest for Glory II: Trial by Fire?,Asks about the combat mechanics specifically mentioning the title for variety.,1894
Who is the driver in a racing game featuring 16 tracks from the 1996 FIA Formula One Grand Prix Championship?,Includes specific hooks like '16 tracks' and '1996 FIA Formula One Grand Prix Championship' for specialists to identify the game,691
"What racing sim lets you act as the Driver, Chief Engineer, and Pit Crew Leader simultaneously?","Highlights the unique role-playing aspect of being the Driver, Chief Engineer, and Pit Crew Leader",691
How many drivers are featured in F1 Racing Simulation?,"Directly asks about the number of drivers in the game, using the title to target the specific title",691
What action spin-off lets you fight hordes of enemies using bloody special attacks granted by Greek gods?,Uses the 'bloody special attacks' and 'Greek gods' hooks to identify the specific action gameplay and theme.,439
Which Total Warrior game involves escorting sappers and killing enemy generals to progress through missions?,Specifically references the 'Total Warrior' series and the mission objectives like 'escorting sappers' to pin down the title.,439
Which game features a character upgrade system using tokens to improve health and power while fighting with spears and shields?,Targets the specific 'token' upgrade system and the variety of ancient weaponry mentioned in the text.,439
Which Nintendo crossover fighting game uses a percentage-based damage system instead of traditional health bars?,Uses the 'Nintendo crossover' and 'percentage-based damage' hooks to uniquely identify the game,1626
What early fighting game features a battle where the goal is to knock opponents off the stage using items and power-ups?,Focuses on the 'knock off the stage' and 'items/power-ups' mechanics as distinguishing characteristics,1626
How does the combat mechanic in Super Smash Bros. differ from standard fighting games?,Directly asks about the game's specific mechanical departure from the general fighting game genre,1626
"What beat 'em up game has characters like Axel, Blaze, and a skateboarder named Skate?","Mentions specific characters (Axel, Blaze, Skate) and Skate's unique characteristic (skateboarder) to identify the game.",1653
Which game features a plot where Mr. X and the Syndicate return to kidnap Adam Hunter to lure his friends into a trap?,"Focuses on the unique plot point of Mr. X, the Syndicate, and the kidnapping of Adam Hunter, which is a unique identifier for this specific sequel.",1653
In what Streets of Rage title does the story involve the protagonists returning to the city to fight through gangs and bomb-wielding bikers to rescue a missing police officer?,"Uses the title series name but specifies the sequence/story elements (bomb-wielding bikers, rescuing Adam) to target this specific entry in the franchise.",1653
What fighting game brings together heroes and villains from the first ten Final Fantasy titles to battle for the world's fate?,Uses the specific 'first ten Final Fantasy titles' and 'heroes and villains' hooks to identify the title.,391
Which arena fighter features a conflict orchestrated by the god of discord and the goddess of harmony?,Focuses on the unique narrative setup involving the god of discord and the goddess of harmony.,391
What game combines 3D arena combat with RPG elements and a roster of 20 characters from a classic JRPG series?,Highlights the hybrid genre (3D arena fighter + RPG) and the specific character count of 20.,391
What DS game involves a boy named Neku who must solve riddles in Shibuya to avoid being erased?,Combines the character name 'Neku' and the 'erasure' threat in the Shibuya setting to uniquely identify the game.,1343
"Which Nintendo DS title features combat that utilizes both screens, the microphone, and the touchscreen for attacks?","Focuses on the specific, unique dual-screen and microphone combat mechanics of the DS hardware as described in the context.",1343
"In which game is the plot centered around Japanese youth culture, fashion, and food in a stylized version of Tokyo?",Targets the thematic elements of Japanese youth culture and the specific Tokyo setting to distinguish the title.,1343
Which WWII shooter for the PSP was developed by Team Fusion?,"Mentions the specific developer (Team Fusion), the platform (PSP), and the setting (WWII) to allow a specialist to identify the game.",1312
What is the ninth game in the Medal of Honor series?,"Directly asks for the ninth installment of a specific series, which is a distinguishing characteristic.",1312
Which PlayStation Portable first-person shooter is focused on World War II and created by Team Fusion?,"Combines the platform, genre, and developer to create a natural search query for this specific title.",1312
Which early racing game lets you drive exotic cars in illegal street races while evading police chases?,"Uses the 'exotic cars', 'illegal street races', and 'evading police' hooks to identify the game",92
What title from the Need for Speed series features hot pursuits and exotic car street racing?,Directly references the series title and the 'hot pursuit' theme,92
Which 1998 racing title focuses on the high-speed pursuit of exotic vehicles by law enforcement on various tracks?,Includes the release year (implied by the date) and the specific 'high-speed pursuit of exotic vehicles' mechanic,92
Who are the protagonists in the Gabriel Knight mystery set in Munich involving werewolf murders?,Mentions the specific characters Gabriel and Grace and the plot involving werewolves in Munich to identify the game,1251
Which adventure game tasks you with playing as both Gabriel and Grace to investigate mutilation killings in Germany?,Highlights the dual-protagonist mechanic and the specific crime setting to provide unique hooks,1251
What classic mystery game involves searching for a beast within in the city of Munich?,Uses the game's title theme and the specific city of Munich as distinguishing characteristics,1251
What action RPG features a story about Asbel Lhant and an amnesiac girl he thought he saw die seven years prior?,Mentions the specific character Asbel Lhant and the unique plot point of the amnesiac girl's return,1211
In which game does the protagonist travel through the world of Ephinea?,Uses the unique world name 'Ephinea' as a distinguishing characteristic for a specialist to identify the game,1211
What is the plot of Tales of Graces regarding the reunion of a childhood friend with memory loss?,Uses the game title directly while asking about the specific plot details provided in the summary,1211
What rally racing game features four distinct modes including Hill Climb and Ice Racing?,"Targets the specific variety of four modes, specifically highlighting Hill Climb and Ice Racing as distinguishing hooks.",841
Which driving title includes a unique AI engine where competitors have individual personalities and driving habits?,Focuses on the unique AI engine and personality-driven driver behavior as a specialized identifier.,841
What is the RalliSport Challenge experience like in terms of of real-world tracks and weather effects?,Directly mentions the game title and queries about its realism and environmental features.,841
Which Castlevania title allows up to six players to collaborate over Xbox Live using a comprehensive map system?,Includes the series name and the specific 'six players' and 'Xbox Live map system' hooks to identify the title.,1147
What is the 2010 Xbox Live crossover platform-adventure game that had a playable demo at Konami's E3 booth?,"Uses the '2010 Xbox Live', 'Konami E3 booth', and 'platform-adventure' characteristics to target the game.",1147
Which co-op adventure game features a full-view quest map and was first revealed via an OFLCA rating leak?,Focuses on the 'full-view quest map' and the 'OFLCA rating leak' as unique identifiers for a specialist.,1147
Which Nintendo 64 game involves collecting Golden Bananas to save the Kong family from K. Rool?,Combines the game title with the key plot goal (Golden Bananas) and the primary antagonist (K. Rool) to create a search query.,1096
What platformer features characters like Lanky Kong using a trombone and Tiny Kong using a ponytail twirl to navigate?,"Focuses on specific, unique character abilities (trombone and ponytail twirl) that are distinguishing characteristics for a specialist.",1096
What game allows players to switch between Kongs to use specific tools like the Pineapple Launcher and Jetbarrel?,Highlights the unique character-switching mechanic and specific tool names (Pineapple Launcher and Jetbarrel) to identify the game.,1096
What handheld crossover game features Spyro and Crash Bandicoot fighting against a duo of Ripto and Dr. Cortex?,Mentions the specific crossover nature and the antagonistic pairing of Ripto and Dr. Cortex to uniquely identify the game.,1590
Which Vicarious Visions developed title replaces the traditional isometric view with side-scrolling and various mini-games like a tank driver or vertical shooter?,"Uses the developer (Vicarious Visions), the shift to side-scrolling, and specific unique mini-game examples to target the title.",1590
In which dragon-led adventure does the protagonist travel between realms to stop a conspiracy involving the Cortex character?,Focuses on the plot element of realm travel and the 'Cortex conspiracy' hook without explicitly naming the full title.,1590
How many missions are in the single-player campaign of Shattered Steel?,Directly asks about the specific mission count mentioned in the document.,220
Which mech pilot game involves defending your species from alien invaders using a Planet Runner?,Uses the unique 'Planet Runner' terminology and the core plot of fighting alien invaders to identify the game.,220
What game features a Planet Runner mech with over 25 weapons like fuel-air mortars and plasma cannons?,"Focuses on the specific weapon list (fuel-air mortars, plasma cannons) and the 'Planet Runner' mech type as distinguishing hooks.",220
What RTS has resources generated automatically based on population rather than manually gathering them?,Targets the unique resource generation mechanic described in the text to identify the game without using the title.,290
Which strategy game lets you play through Rome's defining moments from the Battle of Zama to Cleopatra's rebellion?,Uses specific historical milestones like the Battle of Zama and Cleopatra's rebellion as hooks for a specialist.,290
What is the title of the sequel to Celtic Kings: The Punic Wars that focuses on terrain and troop mobility?,References the specific predecessor titles to create a direct link to the game being described.,290
Which action game features a purple-haired Reploid named Lumine who leads an army of DNA-copying robots?,Identifies the game through the unique characters Lumine and the specific mechanic of DNA copy data,1748
What game involves humans migrating to the moon via an orbital elevator in the Galapagos Islands?,Focuses on the unique setting of the Galapagos Islands orbital elevator and the lunar migration plot,1748
How does the storyline of Mega Man X8 involve the Jakob Project?,Directly uses the title to query about the specific plot point of the Jakob Project,1748
Which PSP platformer involves a plot where the protagonists meet a girl named Luna who turns out to be a robotic puppet ship?,Uses the specific character 'Luna' and the plot twist regarding her being a robotic puppet ship to identify the game.,1791
What game features a race of Technomites who want to use a protagonist's DNA to create an army of clones?,"Focuses on the unique 'Technomite' race and the cloning plot, which are specific to this title's story.",1791
In which Ratchet & Clank title do the characters enter a computer virus-infected Clank using a shrink ray?,"Targets the specific 'shrink ray' mechanic used to enter Clank's internal systems, a distinguishing gameplay/story event.",1791
What military simulator is set in the fictional post-Soviet nation of Chernarus during 2009?,Uses the unique location 'Chernarus' and the specific 'post-Soviet' setting to identify the game without using the title.,572
Which game features a US Marine Corps Force Recon squad operating in a region to maintain stability and protect civilians?,"Focuses on the specific role of 'US Marine Corps Force Recon' and the mission goal, which are distinct hooks for this title.",572
What is Arma 2's setting and primary objective for the player?,A direct query using the game title to cover the basic setting and plot as per the variety guidelines.,572
Which expansion for a strategy game set in Ashan involves a plot where a succubus named Biara impersonates a Queen Isabel?,"Uses the specific 'Ashan' setting, 'Biara', and the 'Queen Isabel impersonation' plot twist to uniquely identify the expansion.",371
"In which game do characters like Freyda, Wulfstan, and Ylaya team up to recapture the Dwarven city of Tor-Hrall?","Combines the unique character names (Freyda, Wulfstan, Ylaya) and the specific location 'Tor-Hrall' to create a strong hook for a specialist.",371
What title features a story where the Daughter of Malassa tasks a Keeper of the Law named Ylaya to investigate the Soulscar clan?,"Targets the specific lore elements 'Daughter of Malassa', 'Keeper of the Law', 'Law', and 'Soulscar clan' which are distinct to this game's narrative.",371
Which game features a young girl named Orta who rides a mysterious dragon to fight against bio-engineered weapons called dragonmares?,Uses the specific character name 'Orta' and the unique term 'dragonmares' as hooks to identify the game,1672
What rail shooter has a dragon that can shift between three different forms to change its attack styles?,Focuses on the specific dragon transformation mechanic which is a unique gameplay feature of this title,1672
"In which title does a character named Abadd, a renegade imperial drone, attempt to use a human girl's DNA to replicate himself infinitely?","Targets the deep plot points involving the network called Sestren and the drone Abadd, providing enough specific hooks for a specialist",1672
Which Oddworld game features a character named Munch who can use sonar to immobilize creatures?,Uses the game's title series name 'Oddworld' and the specific character 'Munch' and his unique sonar ability to identify the game.,1001
"What game involves two protagonists, Abe and Munch, working together to stop Vykkers Labs from exploiting Gabbits?","Focuses on the plot, mentioning the specific antagonist 'Vykkers Labs' and the 'Gabbits' species, which are unique hooks for this specific game.",1001
In which title can the player switch between a Mudokon who can possess enemies and a Gabbit who can swim and use sonar?,Highlights the specific gameplay mechanics of switching between two characters with distinct abilities (possession for the Mudokon and sonar/swimming for swimming for the Gabbit) to avoid using the title.,1001
Who are the playable characters fighting the Mad Gear Gang in Metro City?,Focuses on the primary antagonists (Mad Gear Gang) and the setting (Metro City) to identify the game,1658
What game features Mayor Mike Haggar and Cody working together to rescue Jessica?,Uses the specific plot point of rescuing Jessica and the unique cast of Haggar and Cody,1658
In which beat-em-up do you search for food to heal and weapons to defeat enemies while cleaning up Metro City?,Highlights the specific gameplay mechanics of health recovery via food and weapon collection within the city setting,1658
Which Infocom interactive fiction game involves a wizard who becomes the leader of the Circle of Enchanters just before magic begins to fail?,"Uses the 'Infocom', 'interactive fiction', and 'Circle of Enchanters' hooks to uniquely identify the title",1949
What classic text adventure has a plot where the Guildmasters are transformed into toads and newts during a conclave?,"Focuses on the specific plot twist of transforming guild leaders into toads and newts, a distinctive event in the game's story",1949
"In Spellbreaker, why is the player character's status as an inexperienced young Enchanter initially helpful against the warlock Krill?","Directly uses the game's title to ask about the specific backstory involving Krill, targeting the lore details provided in the context",1949
"Which classic turn-based fantasy strategy game involves Humans disrupting the peace between Elves, Dwarves, and Orcs?","Mentions the specific racial conflict (Humans vs Elves, Dwarves, Orcs) as a distinguishing hook",589
What is the title of the strategy adventure where players build a fantasy empire and search for ancient artifacts and magical power?,"Combines the general genre (strategy adventure) with core objectives (empire building, artifact hunting) to identify the game",589
In which old-school fantasy strategy title do you ally with forces of light or darkness to decide the world's fate after a chaotic arrival of humans?,Focuses on the unique narrative setup of the world's fate being determined by light/dark forces following the human invasion,589
Which 90s PC platformer involves a rabbit chasing Devan Shell through time to recover a wedding ring?,Uses the unique plot hook of chasing Devan Shell through time for a wedding ring to identify the game.,764
What Epic MegaGames title features playable characters named Spaz and Lori?,References the specific playable characters Spaz and Lori and the original developer Epic MegaGames to narrow it down.,764
How does the plot of Jazz Jackrabbit 2 drive the quest to find Eva's ring?,Directly asks about the narrative motivation in Jazz Jackrabbit 2 to cover the story aspect.,764
Which Nintendo DS Fire Emblem game was never released outside of Japan?,Targets the specific fact that this is the only Fire Emblem DS title not released overseas,1445
What strategy game features a 'War of Heroes' conflict where Marth is joined by a forgotten Altean knight known as the Hero of Shadow?,Uses specific plot hooks like 'War of Heroes' and the 'Hero of Shadow' to identify the game without using the title,1445
In which DS remake does the Satellaview exclusive chapters of Archanea Senki Hen get updated with mission-based gameplay?,Focuses on the unique addition of the remade Satellaview exclusive content and the specific engine change,1445
Which MMO features a plot where a Garlean Empire commander tries to drop the moon onto the land of Eorzea?,"Includes the specific 'Garlean Empire' and 'moon drop' plot point, which is unique to this game's premise.",386
What Final Fantasy game lets you ride chocobos and use airships in a massive online world?,Mentions the title series and the core MMO nature with series-specific elements like chocobos and airships.,386
Which RPG has a story about heroes preserved in a temporal rift to survive Bahamut's destruction?,Uses the 'temporal rift' and 'Bahamut' hooks to specifically identify the game's unique story start.,386
Which GameCube game has a protagonist who sucks up coins like a vacuum cleaner?,Mentions the unique coin-vacuuming mechanic and the GameCube era (implied by the context of Wario titles) to help a specialist identify the game.,1700
What title involves a black jewel turning a treasure hoard into monsters in an alternate dimension?,Focuses on the specific plot catalyst—the black jewel and the treasure hoard—which is a distinct narrative hook.,1700
"In Wario World, what are the primary ways the character interacts with the surroundings to find secrets?",Directly addresses the game's exploration and secret-finding mechanics while using the title for variety as per guidelines.,1700
What god simulation game features a anthropomorphic creature like a giant ape or lion that acts as the player's avatar?,Focuses on the unique 'anthropomorphic creature' and 'god simulation' mechanic which is a hallmark of the game.,1921
Which strategy title lets you lead Greek refugees fleeing an Aztec army to conquer Norse and Japanese lands?,Uses specific plot points like 'Greek refugees' and 'Aztec army' to identify thet game without naming it.,1921
How do you manage your believers' morality in Black & White 2?,Directly asks about the game's core morality system and explicitly uses the title for variety as per guidelines.,1921
What hacking simulator features a former intelligence agent trying to stop a global collapse of banks and satellites?,Combines the specific 'former intelligence agent' background with the high-stakes 'global collapse of banks and satellites' plot hooks.,1023
Which puzzle game involves examining code and data bits to stop a worldwide crash of fiber optic links?,Focuses on the 'examining code' mechanic and the specific scenario of 'fiber optic links' crashing to differentiate the game.,1023
How do you play Hacker Evolution's mission to uncover the cause of a global stock market crash?,Uses the game title directly and asks about the specific scenario mentioned in the story description.,1023
Which Sega Saturn exclusive rail shooter features a protagonist named Jean-Luc Lundi and a winged mutant coolia named Lagi?,"Combines the platform (Sega Saturn), genre (rail shooter), and specific character names (Jean-Luc Lundi, Lagi) to identify the game.",1669
What game involves chasing a ship called Shelcoof to stop the Heresy Program?,Uses highly specific plot points like the ship 'Shelcoof' and the 'Heresy Program' which are unique to this game's narrative.,1669
What is the story of Panzer Dragoon II Zwei regarding the mutant coolia?,Directly asks about the game's plot using the title to provide a variety of question types.,1669
"Which billiards game features the professional player Jeanette Lee, also known as the Black Widow?",Connects the unique celebrity endorsement of Jeanette Lee and her nickname 'Black Widow' to identify the game.,938
What pool simulation lets you climb a six-stage career ladder from local player to pro?,Focuses on the specific 'six-stage career ladder' mechanic which is a distinguishing characteristic of the game's progression system.,938
"In Virtual Pool 3, what are the tournament sizes available for multiplayer play?","Asks about a specific detail regarding tournament capacity, ensuring the user is looking for the information contained in the document.",938
Which early CD-ROM Star Wars title features a pilot from Tatooine engaging in missions to take down a Star Destroyer?,"Combines the early CD-ROM era, the pilot's origin from Tatooine, and specific mission targets to identify the game.",161
What movie-based game used full original motion video for the first time to tell a story about a regular rebel pilot?,Highlights the pioneering use of full original motion video (FMV) and the protagonist's role as a regular pilot.,161
What is the name of the Star Wars game where players participate in raids on Imperial bases and the destruction of the Death Star using FMV sequences?,"Uses the specific game title and key story objectives (Imperial base raids, Death Star destruction) to target the document.",161
Who was the cover athlete for the 2001 EA Sports hockey game featuring Mario Lemieux's return?,Mentioning the specific athlete (Mario Lemieux) and his comeback context provides a strong hook for a specialist to identify the game,815
Which hockey title was the first in its series to be available on the Xbox console?,"Focuses on the first Xbox release of the NHL series, a distinct historical milestone for the franchise",815
What EA Sports game released in 2001 marks the predecessor to the 2003 edition?,Uses the date and series sequence to identify the specific title,815
What 6-degrees-of-freedom shooter takes place in underground bases and on planetary surfaces?,Uses the '6-degrees-of-freedom' (implied by 'degree of freedom' and 'careen through canyons') and 'subterranean strongholds' hooks to identify the game.,667
Which space combat game features the all-new Fusion engine and battles against assault-bots?,Targets the 'Fusion engine' and 'assault-bots' as specific identifiers that a specialist would know.,667
What are the gameplay mechanics of Descent 3?,A direct query about the game title to satisfy the variety and search intent guidelines.,667
"Which strategy game lets you lead armies from 1080 to 1530, covering events like the Crusades and the discovery of the Americas?",Identifies the game through its specific chronological range (1080-1530) and historical milestones mentioned in the context.,440
"What game features massive real-time battles with up to 10,000 detailed soldiers across Europe and the Middle East during the Middle Ages?","Uses the unique '10,000 troops' scale and the specific regional focus as hooks for a specialist.",440
Which Total War title focuses on the age of chivalry and the introduction of gunpowder across North Africa and Europe?,Combines the series name with key thematic elements like the age of chivalry and gunpowder to pinpoint the specific entry.,440
Which shooter features a story where the player must choose between two characters to sacrifice in order to destroy an enemy warship?,Targets the unique narrative climax where the player makes a a choice between Hannah and Irish to save the Valkyrie,1979
What game's campaign involves a squad called Tombstone and a plot centered around a military coup by Admiral Chang?,Uses the specific squad name 'Tombstone' and the antagonist 'Admiral Chang' as key identifiers,1979
"In which game does a squad of Marines survive a crash in Baku, Azerbaijan, and later fight through the Kunlun Mountains?",Combines specific geographic locations (Baku and Kunlun Mountains) mentioned in the context to provide unique hooks,1979
Which Mega Man Battle Network game lets you team up with characters from previous entries to stop a global internet takeover?,Combines the 'global internet takeover' plot and 'previous entries' hook to identify the specific game,1762
What GBA game features a fighting mode and a team-up system with cyberheroes to protect the global network?,Uses the unique 'cyberheroes' and 'fighting mode' mechanics to describe the game without using the title,1762
In which title from the Mega Man Battle series do you fight alongside Team Colonel to prevent an evil organization from controlling the web?,References the specific 'Team Colonel' subgroup and the 'evil organization' plot point to target the specific edition of the game,1762
What simulation game lets you pilot the Los Angeles Class Hunter Killer submarine for the US Navy?,Mentions the 'Los Angeles Class Hunter Killer' and 'US Navy' to uniquely identify the game,950
Which WWII flight sim lets you operate attack submarines in historical and fictional theaters?,Focuses on the 'attack submarines' and 'historical and fictional theaters' to provide a specialist's hook,950
What is the name of the game in Jane's Combat Simulations: WWII Fighters?,Directly asks for the title based on the name provided in the context,950
Which WWII flight simulator lets you fly prototype aircraft that were barely used in actual combat?,Targets the 'prototype/what if' hook which is a distinguishing characteristic of this specific sim,204
What LucasArts game involves the US 8th Air Force campaign and features the Do335 interceptor with its unique push-pull propeller configuration?,Uses the 'Do335' and 'push-pull propeller' as highly specific hooks for a specialist,204
"In Secret Weapons of the Luftwaffe, what are the available factions you can pilot planes for?",Covers the basic gameplay aspect of available factions using the game's title,204
Which soccer game from 2003 features a Master League divided into four zones with separate divisions and cups?,Focuses on the specific 'four zones' Master League structure to distinguish this entry from others in the series.,936
In which Winning Eleven title can you use a shop system to unlock classic teams and practice dribbling through cones?,Combines the title's series name with specific unlockables (classic teams) and a unique training drill (cones) described in the text.,936
Which football simulation introduced an advantage rule and an expanded edit mode for customizing fictional team names and logos?,Highlights the gameplay mechanics (advantage rule) and the characteristic fictional naming convention common to early PES/Winning Eleven games.,936
"Which military shooter puts you in the role of a U.S. Marine with missions set in Tehran, Paris, and New York?","Includes the specific combination of city locations (Tehran, Paris, New York) and the role of U.S. Marines to uniquely identify the title.",343
What is the name of the Battlefield game where players experience intense urban combat across global locations as elite Marines?,Uses the game's series name and the specific protagonist role (elite Marines) to ensure a direct match.,343
Which FPS features highly interactive environments where walls crumble and explosions force players to the ground during global missions?,Focuses on the specific environmental destruction mechanics (crumbling walls) and the 'global missions' setting described in the summary.,343
Who is the bounty hunter that captures Richard B. Riddick in the game set in the high-security prison on a barren planet?,Mentions the specific bounty hunter and the protagonist's name to provide unique identifiers for the game.,250
