,question,doc_id
54,What is the objective in the Barbie Explorer game involving the Mystic Mirror?,3314
55,What is the gameplay premise of the third installment in the classic automotive racing series?,2202
56,Can you provide details about the retro car simulation title released in the early nineties?,2202
57,How does the radar detector mechanic function in the racing game about evading police?,2202
58,Which classic driving simulation features a radar system to help players avoid law enforcement?,2202
59,What are some details regarding the third entry of the legendary racing franchise that focused on high-speed evasion?,2202
60,What is the plot of the video game based on the movie where Detective Tapp gets trapped by a killer?,7176
61,Can you tell me about the game where David Tapp tries to escape from Jigsaw?,7176
62,What happens to the main character in the 2009 horror game featuring Jigsaw traps?,7176
63,Is there a video game where you have to solve puzzles created by a serial killer to survive an asylum?,7176
64,What is the storyline behind the detective game involving a nemesis who forces his captives to play lethal games?,7176
65,What are some key gameplay features of Dragon Ball Z: Ultimate Tenkaichi?,2574
66,Can you tell me about the fighting mechanics in the game Dragon Ball Z: Ultimate Tenkaichi?,2574
67,What kind of visual style and environmental effects can players expect in this specific DBZ title?,2574
68,Is there a story mode included in the Dragon Ball Z: Ultimate Tenkaichi experience?,2574
69,What is the general reception and player rating for the fighting game Dragon Ball Z: Ultimate Tenkaichi?,2574
70,What is the plot behind the third installment of the original horror series involving Edward Carnby?,1959
71,Can you provide details about the gameplay changes featured in the final entry of the classic trilogy?,1959
72,Who is the primary antagonist Edward Carnby faces in the Mojave Desert ghost town?,1959
73,Which historical setting serves as the backdrop for the final chapter of the initial trilogy?,1959
74,What happens when Edward Carnby arrives at Slaughter Gulch to search for the missing film crew?,1959
75,What characters are playable in the racing game F-Zero: GP Legend?,3493
76,Can you play multiplayer in the F-Zero: GP Legend game?,3493
77,What kind of game is F-Zero: GP Legend about?,3493
78,How many players can join a match in F-Zero: GP Legend?,3493
79,Is there a story mode included in F-Zero: GP Legend?,3493
80,What is the plot of the handheld police tactical shooter featuring hostage rescue?,319
81,Can you describe the gameplay mechanics in the PSP version of the police tactical squad game?,319
82,Which game involves leading a special police unit to prevent a global nuclear disaster?,319
83,Are there any video games that simulate realistic close-quarters combat and squad-based police missions?,319
84,What are some key features of the police tactical game released in 2007?,319
85,What is the plot behind the sixth entry in the Big Fish Mystery Case Files series?,5514
86,Can you tell me about the Banshee legend featured in the puzzle game set in Dire Grove?,5514
87,Who developed and published the interactive mystery adventure game where you search for missing students in a snowy town?,5514
88,What events unfold after the player discovers the camcorder in the deserted town of Dire Grove?,5514
89,How does the story conclude for the protagonist after they interact with the Banshee in Dire Grove?,5514
90,What is the name of the golf simulator released for the GBA in 2002?,6397
91,Can you play against friends in the Game Boy Advance version of ESPN golf?,6397
92,How many different athletes and golf courses can you select in this handheld sports title?,6397
93,Does the handheld golf game feature dynamic weather effects like rain or wind?,6397
94,Which portable console supports the ESPN-branded golf title featuring multiplayer link cable support?,6397
95,What kind of sports title features characters from the Pixar animated film about scare tactics?,4020
96,Are there any video games where you play dodgeball with Sulley and Mike?,4020
97,Can you play against friends in the dodgeball competition game featuring the Monsters Inc. cast?,4020
98,Is there a beginner-friendly competitive arena game based on the Monsters Inc. franchise?,4020
99,What is the name of the classic dodgeball video game designed for children set in a factory world?,4020
100,What classic arcade title from the early 80s featured a building scaling mechanic?,4611
101,Which company originally developed the arcade game where you climb skyscrapers?,4611
102,Was there a game about vertical scaling that predates Donkey Kong?,4611
103,Can you tell me about the history of the Nichibutsu game released in 1980?,4611
104,What console platforms was the arcade hit Crazy Climber ported to in North America?,4611
105,What features are included in the compilation of Clouds of Xeen and Darkside of Xeen?,7738
106,Can you tell me about the Might and Magic title that combined two adventures into one?,7738
107,Which classic RPG allows players to travel between two massive game worlds?,7738
108,Was there a version of Might and Magic that featured digitized voice acting?,7738
109,What is the premise of the Might and Magic World of Xeen game?,7738
110,What was the first title in the MK series to implement a side-scrolling style?,1610
111,Can you describe the plot of the spin-off featuring the Lin Kuei assassin?,1610
112,How does the combat system in the Sub-Zero standalone title differ from traditional fighting games?,1610
113,Which character tricks the protagonist into finding the ancient artifact in the game focused on the ice ninja?,1610
114,What specific role-playing mechanics were introduced in the Sub-Zero prequel to the original fighting game?,1610
115,What kind of table tennis title was released for the original Nintendo handheld?,7774
116,Can you tell me about the mechanics of the classic portable ping-pong game?,7774
117,Which sports game focused on rallies was available on the Game Boy?,7774
118,What is the objective in the retro handheld video game Battle Pingpong?,7774
119,Are there any handheld ping-pong simulation games from the early 90s?,7774
120,What is the main objective of the simulation game where you manage livestock and crops?,10313
121,Can you describe the gameplay loop involved in the Farming World title?,10313
122,What type of business activities can players perform in the Farming World game?,10313
123,How do players grow their agricultural business in Farming World?,10313
124,What are the primary responsibilities of a player running a farm in Farming World?,10313
125,What platforms was the second Wii entry in the Medal of Honor franchise released on?,1315
126,Where does the plot of Medal of Honor: Heroes 2 begin?,1315
127,Which war serves as the backdrop for the Medal of Honor: Heroes 2 storyline?,1315
128,Why is Medal of Honor: Heroes 2 restricted for minors in Germany?,1315
129,Was Medal of Honor: Heroes 2 the first game of its series to launch on the Wii console?,1315
130,What is the premise of the classic 90s Disney Gargoyles video game?,4530
131,Can you tell me which character players control in the Gargoyles platformer?,4530
132,Are there any side-scrolling action games featuring the Disney Gargoyles characters?,4530
133,What kind of gameplay experience does the Gargoyles title offer based on the TV show?,4530
134,Is there a video game adaptation of the old Gargoyles animated series?,4530
135,What is the plot of the game Guard Duty?,6741
136,Can you tell me about the comedy adventure game involving different time periods?,6741
137,What kind of game is Guard Duty?,6741
138,Are there any video games that deal with the end of the world through a humorous story?,6741
139,What is the premise of the adventure game Guard Duty?,6741
140,What is the title of that Japanese-exclusive strategy title for the original Xbox?,5762
141,Can you identify the tactical simulation game released only in Japan for Microsoft's first console?,5762
142,What kind of software is Cyber Attack Team?,5762
143,Where can I find details about the Xbox-exclusive game known as C.A.T.?,5762
144,Was there an exclusive strategy title for the Xbox released only in Japan?,5762
145,What is the plot of the first open world racing game in the NFS series?,97
146,Can you tell me about the storyline involving Bayview and the antagonist Caleb Reece?,97
147,Which Need for Speed title introduced players to an open world street racing experience?,97
148,Who is Rachel Teller in the context of the street racing game set in Bayview?,97
149,What kind of race types and vehicle customization options are available in Need for Speed: Underground 2?,97
150,When was the slot machine simulator Menghuan Shuiguo Pan first available to play?,4392
151,Where can I find official details about the 777 Casino game from the 90s?,4392
152,What is the IGDB entry for the title Menghuan Shuiguo Pan: 777 Casino?,4392
153,Can you provide information regarding the release date of the classic fruit casino title?,4392
154,Which gaming database lists the platform history for Menghuan Shuiguo Pan?,4392
155,What features are included in Magic: The Gathering - Duels of the Planeswalkers 2013?,1891
156,When was the first Magic: The Gathering - Duels of the Planeswalkers 2013 game released?,1891
157,Can you find information about the 2013 Duels of the Planeswalkers Magic game?,1891
158,What are some games similar to Magic: The Gathering - Duels of the Planeswalkers 2013?,1891
159,How many customizable decks are available in the 2013 Magic Planeswalkers game?,1891
160,What are some unique power-ups included in the Nintendo DS racing game featuring Mario?,2345
161,How many race tracks are available in the portable Mario Kart title for the DS?,2345
162,Can you tell me which handheld console had a Mario Kart game featuring retro tracks?,2345
163,What is the gameplay experience like in the Mario Kart title released for the dual-screen portable?,2345
164,Which classic racing series had a popular installment on the DS system?,2345
165,What details can you find about the Amulet of Yendor title on IGDB?,2882
166,Where can I find official information about the classic game Amulet of Yendor?,2882
167,Can you provide technical data for the game called Amulet of Yendor?,2882
168,What is the release history and platform info for the adventure game Amulet of Yendor?,2882
169,"I am looking for the database entry for the Amulet of Yendor video game, where is it?",2882
170,What is the plot of the horror game set in Bright Dawn Treatment Center?,5837
171,Can you provide details on the remake of the classic handheld horror title Dementium II?,5837
172,What features were added in the HD version of the game featuring William Redmoor?,5837
173,Are there any puzzle-solving elements in the horror game focused on Bright Dawn?,5837
174,What kind of atmosphere can players expect from the game involving Pelf Village?,5837
175,What is the premise of the futuristic racing game involving interplanetary combat vehicles?,2199
176,Can you describe the gameplay loop of the Interplanetary Battle Circuit title?,2199
177,What can you tell me about the 90s era vehicular combat game centered on corporate planet rights?,2199
178,What kind of combat sport game features flying machines racing for victory in the 24th century?,2199
179,Which classic game involves hover-crafts competing in violent corporate sports events?,2199
180,What are the main features added in the standalone expansion for Dynasty Warriors 8?,10267
181,Can you play as Lu Bu in the Xtreme Legends version of Dynasty Warriors 8?,10267
182,What new gameplay modes are included in the Xtreme Legends edition of Dynasty Warriors 8?,10267
183,What does the expansion Dynasty Warriors 8: Xtreme Legends add to the base game?,10267
184,Does Dynasty Warriors 8: Xtreme Legends feature new story scenarios?,10267
185,What is the name of the classic arcade game where you play as Snake and Bart escaping a base?,6820
186,How do you perform special moves like headbutts or jump kicks in the 80s arcade game Prisoners of War?,6820
187,What types of weapons can you find dropped by soldiers in the arcade game P.O.W.?,6820
188,Can you describe the objective and setting of the arcade game featuring the characters Snake and Bart?,6820
189,What button combinations are needed for combat maneuvers in the side-scrolling classic P.O.W.?,6820
190,What is the plot of the retro space adventure game Mission Critical?,791
191,Can you describe the story behind the USS Lexington in the game Mission Critical?,791
192,What are some games similar to the 90s title Mission Critical?,791
193,"In the video game Mission Critical, what conflict is happening between the Alliance and the UN?",791
194,What kind of gameplay does the title Mission Critical offer?,791
195,What is that handheld game similar to GTA from the early 2000s?,6531
196,Can you tell me about the open-world criminal game released for the Game Boy Advance?,6531
197,Are there any 3D action titles for the GBA that play like Grand Theft Auto?,6531
198,What is the name of the non-linear GBA title where you score points by doing criminal missions?,6531
199,Which classic GBA game features a unique 3D engine and lets players act as a criminal?,6531
200,What is the premise of the educational title involving a robot rescue mission and power sources?,9239
201,Can you name a video game that teaches players about renewable power generation?,9239
202,Where can I find information about the physics-based adventure game about Unitron?,9239
203,Are there any interactive software programs that explain how solar and wind electricity work?,9239
204,What is a fun title for kids to learn about science concepts like energy production?,9239
205,What makes Takeshi no Chousenjou considered an exceptionally difficult game?,8531
206,Can you tell me more about the plot or gameplay of Takeshi no Chousenjou?,8531
207,Why does the packaging for Takeshi no Chousenjou include warnings for players?,8531
208,Are there any Japanese action-adventure titles known for having nearly impossible challenges?,8531
209,What is the premise behind the notoriously hard game Takeshi no Chousenjou?,8531
210,What new features were added to the home console version of Tekken 6?,1236
211,Can you describe the single-player campaign found in the console release of Tekken 6?,1236
212,How does the console port of Tekken 6 differ from the original arcade version Bloodline Rebellion?,1236
213,What extra content is included in the home console edition of Tekken 6 compared to its arcade counterpart?,1236
214,Is there a story or campaign mode available in the console release of Tekken 6?,1236
215,What is the premise of the co-op game featuring Tak and Lok?,2780
216,Can you tell me about the gameplay mechanics in Tak: The Great Juju Challenge?,2780
217,Who are the main characters in the Pupanunu Tribe adventure game?,2780
218,What kind of challenges do the players face in the Pupanunu competition?,2780
219,Is there a game where you have to race against other tribes while solving puzzles?,2780
220,What is the premise of X-COM: Apocalypse and its setting in Mega-Primus?,26
221,How does the alien life cycle function in the third X-COM game?,26
222,Which entities are the true masterminds behind the invasion in X-COM: Apocalypse?,26
223,What kind of threats do players face beyond the alien invaders in this strategy title?,26
224,Can you explain the role of Micronoids and their psionic control tactics in the game?,26
225,What is that old 90s fighting game where characters look like real digitized actors?,4325
226,Can you tell me about the classic title where lieutenants fight for control of a criminal syndicate?,4325
227,Looking for a fighting game that used 3D rendered backgrounds and captured video of real people.,4325
228,What is the name of the tournament-style brawler where the prize is becoming the new Shadow King?,4325
229,Is there a fighting game that features realistic cinematic scenes and digitized human fighters?,4325
230,What RPG was created by Bullet Proof Software that had a late release on the SG-1000?,6099
231,Can you identify the final title Sega published on a card for the SG-1000 console?,6099
232,When did the SG-1000 version of The Black Onyx come out compared to the MSX and PC-8801 editions?,6099
233,What is the name of the sequel to the classic role-playing game The Black Onyx?,6099
234,Which classic game was an exceptionally late addition to the SG-1000 library in 1987?,6099
235,What is the plot of the game where you play as John Vattic?,4101
236,Can you tell me about the gameplay mechanics in Second Sight?,4101
237,What kind of game features a protagonist with memory loss and paranormal powers?,4101
238,Is Second Sight considered a psychological thriller or action game?,4101
239,What are some games similar to the stealth title starring an amnesiac with special gifts?,4101
240,What is the plot of the third Fable game?,504
241,Can you tell me about the storyline involving Logan and the throne of Albion?,504
242,What happens in the sequel to Fable II?,504
243,What kind of threats does the hero face after becoming ruler in Fable III?,504
244,Is there a game where you play as the child of the previous hero in the Fable series?,504
245,What is the plot about a traveler trying to repair his ship after an asteroid crash?,8506
246,Can you describe the gameplay loop of that retro-style space exploration title?,8506
247,What are the main objectives for the protagonist stranded in the omega sector?,8506
248,Where can I find details about the interstellar journey game featuring ancient guardians?,8506
249,What kind of experience does the indie game about a nomad searching for engine parts offer?,8506
250,What are the different game modes available in the PlayStation title featuring the King of the Monsters?,8731
251,Which company was responsible for developing the Godzilla video game released on PS3 and PS4?,8731
252,Can you explain the plot behind the Godzilla game where he hunts for G-Energy?,8731
253,What is the difference between the Japanese release titled Godzilla VS and the North American version?,8731
254,How does the player increase Godzilla's power and size throughout the gameplay stages?,8731
255,What is the story behind the first Dark Souls game?,2155
256,Who created the action role-playing game Dark Souls?,2155
257,What kind of multiplayer features can players find in the original Dark Souls?,2155
258,Can you explain the main objective for the protagonist in Lordran?,2155
259,Why is the original Dark Souls game considered so difficult?,2155
260,What features made the 2001 soccer release by EA Sports stand out for realism?,698
261,Which legendary players contributed motion capture animations to this early 2000s football game?,698
262,How many international teams were included in this classic soccer video game title?,698
263,Can you describe the graphical and AI enhancements featured in this specific FIFA edition?,698
264,What kind of tournament options and game modes are available in the 2001 version of this sports franchise?,698
265,What features are included in the El Dorado expansion for Europa Universalis IV?,10283
266,Can you tell me about the Nation Designer in the EU4 El Dorado DLC?,10283
267,How does El Dorado expand the gameplay for South and Central American nations?,10283
268,What is the focus of the fifth expansion for Europa Universalis IV?,10283
269,What kind of historical exploration content does the El Dorado DLC add to Europa Universalis IV?,10283
270,What are the main gameplay mechanics of the arcade-style title Super Dragon Ball Z?,2581
271,Which developers were involved in creating the Super Dragon Ball Z fighting game?,2581
272,Can you describe the control scheme used in Super Dragon Ball Z?,2581
273,How do the multi-layered stages work in the Super Dragon Ball Z fighting game?,2581
274,Who was the former Street Fighter producer that worked on the development of Super Dragon Ball Z?,2581
275,What are the main features added in the second Civilization V expansion pack?,3272
276,How does the Brave New World add-on change the gameplay mechanics of Civ V?,3272
277,Which mechanics regarding diplomacy and culture were introduced in the second expansion for Civilization V?,3272
278,Can you describe what the Brave New World expansion brings to the strategy game Civilization V?,3272
279,What new content is included in the Brave New World update for Civilization V?,3272
280,What is the name of the MicroProse naval warfare game set in the Pacific during WWII?,9325
281,Can you suggest a realistic sea combat simulator where players control cruisers and destroyers?,9325
282,What 1990s video game focuses on night battles and torpedo combat in the South Pacific?,9325
283,Is there a historical simulation that features naval fleet management and battleship maneuvering?,9325
284,Which classic game allows players to experience surface combat during the Pacific War?,9325
285,What is the plot of the Dreamcatcher Games title set on the planet Arrakis?,88
286,Can you tell me about the video game adaptation involving House Atreides and the Spice conflict?,88
287,Which classic sci-fi novel was turned into a Dreamcatcher title about a desert planet?,88
288,What are some details regarding the gameplay focus of the Frank Herbert Dune game?,88
289,Where can I find information about the 2001 sci-fi strategy game featuring Baron Harkonnen and Paul Atreides?,88
290,What kind of game blends elements of Chess and Battleship with a narrative about humanoid war machines?,9390
291,Can you tell me about the plot behind War of the Human Tanks?,9390
292,What is the premise of the strategy game featuring the conflict between the Empire and the Kingdom of Japon?,9390
293,Are there any tactical games that involve human-shaped military units and a proxy war setting?,9390
294,Who is the Imperial Army Lieutenant leading his squad in the War of the Human Tanks?,9390
295,What is the release year of the video game Hestebanden?,2257
296,Where can I find details about the Hestebanden game online?,2257
297,Which console was Hestebanden originally released for?,2257
298,Are there any games similar to Hestebanden available?,2257
299,What classification and genre tags are associated with Hestebanden?,2257
300,What game involves protecting the US President after an assassination attempt during inauguration?,7183
301,Can you tell me about the plot of the Secret Service video game?,7183
302,What is the premise behind the Secret Service title where the president gets shot?,7183
303,"Looking for a game where you play as an agent responding to an attack on the President, what is it called?",7183
304,What is the story summary for the game titled Secret Service?,7183
305,When was the 2003 professional baseball video game by Sega first launched?,6241
306,Which platforms could you play the 2003 MLB simulation title on?,6241
307,What is the overall review score for the World Series Baseball 2K3 entry?,6241
308,Can you find information about the 2003 major league baseball game release?,6241
309,Which developers were responsible for creating the World Series Baseball 2K3 software?,6241
310,What is the plot of the five-part episodic comedy adventure featuring the Freelance Police?,9534
311,Can you explain the story behind the Toys of Power in the Sam & Max game series?,9534
312,Who is the main antagonist Sam and Max fight in the first episode of The Devil's Playhouse?,9534
313,What kind of supernatural abilities does Max possess in The Devil's Playhouse?,9534
314,What is the significance of the artifact kept in the basement of the Sam & Max office?,9534
315,What is the follow-up game to the popular Race Driver: GRID?,2138
316,Can you find the general reception and player scoring for the racing game Grid 2?,2138
317,What is the premise of the second installment in the GRID racing series?,2138
318,Where can I find detailed info and community ratings for the title Grid 2?,2138
319,When did the racing title known as Grid 2 originally launch?,2138
320,What is the plot of the Nintendo DS game based on the Nickelodeon show featuring Drake and Josh?,7971
321,Can you describe the gameplay activities included in the Drake and Josh video game?,7971
322,What kind of challenges do the main characters face in the Drake and Josh Belleview High game?,7971
323,Are there any rhythm or magic mechanics in the Drake and Josh title for the DS?,7971
324,What was the premise of the competition featured in the Drake and Josh handheld game?,7971
325,What classic 90s western shooter was developed by LucasArts?,196
326,Can you tell me about the PC game where you play as a Marshal tracking down bandits?,196
327,Which old FPS game features a protagonist trying to rescue his daughter from outlaws?,196
328,Looking for information on a 1997 shooter set in the American frontier.,196
329,What game lets you use a lantern and shovel in a cowboy-themed environment?,196
330,What are the specific visual and audio enhancements found in the Dreamcast version of KOF 99?,4361
331,Which game served as the base for the title known as The King of Fighters: Evolution?,4361
332,Were the backgrounds in the Dreamcast port of King of Fighters 99 updated to 3D?,4361
333,Can you play the arranged soundtrack in The King of Fighters: Evolution?,4361
334,What was the name of the Dreamcast reimagining of the 1999 King of Fighters installment?,4361
335,What kind of game is Story Hour: Adventure?,9754
336,Can you tell me more about the interactive storytelling title Story Hour?,9754
337,What are some games similar to Story Hour: Adventure?,9754
338,When was Story Hour: Adventure originally launched?,9754
339,Is there a game that features a collection of digital stories for players?,9754
340,What is the backstory of the protagonist in the 2007 Marvel action title?,6420
341,Which movie-inspired superhero video game features Johnny Blaze as the lead character?,6420
342,Can you provide details about the game adaptation of the 2006 Marvel comic film?,6420
343,Who is the main character in the game that features a deal with the devil for his father's life?,6420
344,What kind of gameplay does the 2007 console release featuring the daredevil cycle rider offer?,6420
345,Who created the first text-based lunar landing game?,9128
346,What computer was used to develop the original Lunar Lander game in 1969?,9128
347,Can you explain the mechanics behind early text-based space landing simulations?,9128
348,How did the version called LEM differentiate itself from the original Lunar game?,9128
349,What role did David H. Ahl play in popularizing early computer games for the PDP-8?,9128
350,What PC game is based on the fantasy wargame miniatures by Rackham?,10104
351,Can you tell me about the tactical RPG set in the universe of Aarklash?,10104
352,Which studio developed the 2012 strategy game titled Confrontation?,10104
353,What kind of multiplayer factions are available in the game Confrontation?,10104
354,Are there any strategy games that mix RPG elements and focus on squad management set in the world of Aarklash?,10104
355,What is the name of the independent simulator game where you manage a fantasy pub for monsters?,9679
356,Can you tell me about the project created by Steven Colling involving agriculture and drink production?,9679
357,Are there any video games where you can build an inn for orcs and grow your own supplies?,9679
358,Who worked on the audio and soundtrack for the Orcish Inn simulation game?,9679
359,What kind of gameplay mechanics are featured in the title Orcish Inn?,9679
360,What kind of Gradius game was released in arcades during the late nineties?,1485
361,Can you tell me about the 3D shoot 'em up featuring the Vic Viper?,1485
362,Is there a Konami arcade title that uses a flight-sim cabinet and is part of the Gradius series?,1485
363,Which rare 3D spin-off game is based on the Gradius franchise and was limited to Japan?,1485
364,What do you know about the 1997 title that translates Gradius gameplay into a 3D environment?,1485
365,How does the ship mechanic work in Volfied?,4469
366,What is the objective of the game where you cut sections of the screen?,4469
367,How do you complete levels in the classic game Volfied?,4469
368,Can you explain the shielding system used by the scanner ship?,4469
369,What happens if an enemy touches your laser cutter line?,4469
370,What is the premise of the game where you play as a crustacean shedding shells to solve puzzles?,10109
371,Can you tell me about the beach-themed logic game involving seagulls?,10109
372,How does the shell-shedding mechanic work in the game Crab Cakes Rescue?,10109
373,Are there any brain-teaser games where you help a crab escape different levels?,10109
374,What are some details regarding the gameplay and objective of Crab Cakes Rescue?,10109
375,What is the plot of the World War II action title featuring Corporal Jake Murphy?,1317
376,Can you tell me about the handheld Medal of Honor game released in 2003?,1317
377,What kinds of missions do you undertake as the protagonist in Infiltrator?,1317
378,Are there any classic WWII combat games where you can operate tanks or use disguises?,1317
379,What are some of the weapons available in the game Medal of Honor: Infiltrator?,1317
380,What is the classic retro game famous for the meme about base ownership?,4412
381,Can you tell me about the sci-fi shooter where you use captured ships as shields?,4412
382,Which old school Sega Genesis title is known for having notoriously bad English localization?,4412
383,What is the backstory behind the space combat game involving an alien cyborg named CATS?,4412
384,What title is credited for the popular internet phrase all your base are belong to us?,4412
385,What is the premise of the city-building simulation game focused on ancient Rome?,7509
386,Can you describe the gameplay mechanics in Caesar II?,7509
387,How does the city management system work in the classic Roman-themed strategy game?,7509
388,What are the main objectives when governing a province in the Caesar II video game?,7509
389,What are some of the challenges involved in developing a city in the title Caesar II?,7509
390,What is the plot of the retro game where Simon tries to rescue his bride from Dracula?,1117
391,Can you tell me about the story behind the classic title Haunted Castle?,1117
392,Which old school game features a groom storming a demon fortress to find his wife?,1117
393,What happens when the vampire lord interrupts a wedding in the game Haunted Castle?,1117
394,Is there a game where the protagonist Simon travels to a dark castle to save Serena?,1117
395,What is the plot of the retro 3D platformer game where a boy turns into a lizard?,4095
396,Can you tell me about the game Scaler and its main protagonist?,4095
397,Who is Bobby Jenkins in the context of the lizard-themed platformer adventure?,4095
398,Is Scaler considered a hidden gem among 3D platformers from the early 2000s?,4095
399,What is the premise of the game where a boy fights an army of mutated reptiles from another dimension?,4095
400,What is the plot of the fourth Commander Keen game?,2443
401,Can you tell me about the game where you play as Billy Blaze?,2443
402,What is the objective in Secret of the Oracle?,2443
403,"Who is the main protagonist in the Goodbye, Galaxy! series?",2443
404,What kind of equipment does the player use in the Secret of the Oracle game?,2443
405,What was the marketing slogan for NHL 10?,953
406,When were the online servers for the game NHL 10 shut down?,953
407,Which EA sports hockey title was the first to skip a PC release?,953
408,Where did the NHL 10 title make its public debut?,953
409,What song was featured in the TV commercials for NHL 10?,953
410,What was the second add-on released for the original Star Wars space combat simulator?,171
411,Can you tell me about the content update that added more challenges to the X-Wing flight game?,171
412,Which Star Wars title served as the base for the B-Wing mission expansion?,171
413,What is the name of the classic Star Wars X-Wing add-on pack?,171
414,Are there any secondary mission packs available for the 90s Star Wars X-Wing title?,171
415,How can I rise through the ranks to become a professional stylist in a Nintendo DS game?,7931
416,What is the title of the sequel to Cosmetic Paradise that focuses on beauty and fashion?,7931
417,Are there any handheld games where you can practice applying lipstick and eyeshadow to virtual clients?,7931
418,What gameplay features are involved in the career simulator for aspiring beauticians on the DS?,7931
419,Can you suggest a simulation game about running a makeover salon and competing in style challenges?,7931
420,What new areas are included in the expansion for the first Baldur's Gate title?,81
421,Does the Tales of the Sword Coast add-on change the core plot of the base game?,81
422,Where does the story take place in the Baldur's Gate expansion?,81
423,Can you tell me more about the content found in the Sword Coast expansion for the original RPG?,81
424,What kind of extra missions are available in the Baldur's Gate: Tales of the Sword Coast content?,81
425,What is the premise of the grand strategy game Europa Universalis II?,682
426,Can you describe the gameplay mechanics and historical scope of Europa Universalis 2?,682
427,What features were added to improve the player experience in Europa Universalis II?,682
428,How does the diplomatic and military system work in the game Europa Universalis II?,682
429,What kind of activities can players engage in during a campaign of Europa Universalis II?,682
430,What is the story premise behind the Zork Zero game?,1952
431,Can you provide some background information on the title Zork Zero: The Revenge of Megaboz?,1952
432,What makes the interactive fiction experience in the Zork series unique?,1952
433,Where can I find details about the classic text-based adventure Zork Zero?,1952
434,What is the overall description and setting for the Zork Zero game?,1952
435,Can you tell me about the gameplay features in Devil's Third?,7395
436,What is the premise of the action game involving firearms and swords?,7395
437,What are the main components of the online multiplayer mode in Devil's Third?,7395
438,How would you describe the combat style of the game developed by Valhalla Game Studios?,7395
439,Is there a title that mixes military shooting mechanics with ninja melee skills?,7395
440,What is that intense roguelike game where you explore a facility run by an evil AI?,7884
441,Can you tell me about the indie shooter featuring procedurally generated levels and retro aesthetics?,7884
442,What happens to the protagonist in the plot of Teleglitch: Die More Edition?,7884
